1254545000: 00000000, 5d40006f
1254628000: 00000004, 00000013
1254711000: 00000008, 00000013
1254795000: 000005d4, 00000093
1254878000: 000005d8, 00000113
1254962000: 000005dc, 00000193
1255045000: 000005e0, 00000213
1255128000: 000005e4, 00000293
1255212000: 000005e8, 00000313
1255295000: 000005ec, 00000393
1255379000: 000005f0, 00000413
1255462000: 000005f4, 00000493
1255545000: 000005f8, 00000513
1255629000: 000005fc, 00000593
1255712000: 00000600, 00000613
1255796000: 00000604, 00000693
1255879000: 00000608, 00000713
1255962000: 0000060c, 00000793
1256046000: 00000610, 00000813
1256129000: 00000614, 00000893
1256213000: 00000618, 00000913
1256296000: 0000061c, 00000993
1256379000: 00000620, 00000a13
1256463000: 00000624, 00000a93
1256546000: 00000628, 00000b13
1256630000: 0000062c, 00000b93
1256713000: 00000630, 00000c13
1256796000: 00000634, 00000c93
1256880000: 00000638, 00000d13
1256963000: 0000063c, 00000d93
1257047000: 00000640, 00000e13
1257130000: 00000644, 00000e93
1257213000: 00000648, 00000f13
1257297000: 0000064c, 00000f93
1257380000: 00000650, 02000293
1257464000: 00000654, 30529073
1257547000: 00000658, 30005073
1257964000: 0000065c, 30405073
1258047000: 00000660, 00021197
1258298000: 00000664, a7418193
1258548000: 00000668, 00021117
1258965000: 0000066c, 53810113
1259048000: 00000670, 00020517
1259465000: 00000674, 26c50513
1259549000: 00000678, 8c418593
1259966000: 0000067c, 00b50863
1260049000: 00000680, 00052023
1260466000: 00000684, 00450513
1260549000: 00000688, ff5ff06f
1260633000: 0000068c, 471000ef
1260716000: 00000690, 010000ef
1260800000: 0000067c, 00b50863
1260883000: 00000680, 00052023
1261050000: 00000684, 00450513
1261133000: 00000688, ff5ff06f
1261217000: 0000068c, 471000ef
1261300000: 00000690, 010000ef
1261383000: 0000067c, 00b50863
1261467000: 00000680, 00052023
1261634000: 00000684, 00450513
1261717000: 00000688, ff5ff06f
1261800000: 0000068c, 471000ef
1261884000: 00000690, 010000ef
1261967000: 0000067c, 00b50863
1262051000: 00000680, 00052023
1262217000: 00000684, 00450513
1262301000: 00000688, ff5ff06f
1262384000: 0000068c, 471000ef
1262468000: 00000690, 010000ef
1262551000: 0000067c, 00b50863
1262634000: 00000680, 00052023
1262801000: 00000684, 00450513
1262885000: 00000688, ff5ff06f
1262968000: 0000068c, 471000ef
1263051000: 00000690, 010000ef
1263135000: 0000067c, 00b50863
1263218000: 00000680, 00052023
1263385000: 00000684, 00450513
1263468000: 00000688, ff5ff06f
1263552000: 0000068c, 471000ef
1263635000: 00000690, 010000ef
1263719000: 0000067c, 00b50863
1263802000: 00000680, 00052023
1263969000: 00000684, 00450513
1264052000: 00000688, ff5ff06f
1264136000: 0000068c, 471000ef
1264219000: 00000690, 010000ef
1264302000: 0000067c, 00b50863
1264386000: 00000680, 00052023
1264553000: 00000684, 00450513
1264636000: 00000688, ff5ff06f
1264719000: 0000068c, 471000ef
1264803000: 00000690, 010000ef
1264886000: 0000067c, 00b50863
1264970000: 00000680, 00052023
1265136000: 00000684, 00450513
1265220000: 00000688, ff5ff06f
1265303000: 0000068c, 471000ef
1265387000: 00000690, 010000ef
1265470000: 0000067c, 00b50863
1265553000: 00000680, 00052023
1265720000: 00000684, 00450513
1265804000: 00000688, ff5ff06f
1265887000: 0000068c, 471000ef
1265970000: 00000690, 010000ef
1266054000: 0000067c, 00b50863
1266137000: 00000680, 00052023
1266304000: 00000684, 00450513
1266387000: 00000688, ff5ff06f
1266471000: 0000068c, 471000ef
1266554000: 00000690, 010000ef
1266638000: 0000067c, 00b50863
1266721000: 00000680, 00052023
1266888000: 00000684, 00450513
1266971000: 00000688, ff5ff06f
1267055000: 0000068c, 471000ef
1267138000: 00000690, 010000ef
1267221000: 0000067c, 00b50863
1267305000: 00000680, 00052023
1267472000: 00000684, 00450513
1267555000: 00000688, ff5ff06f
1267638000: 0000068c, 471000ef
1267722000: 00000690, 010000ef
1267805000: 0000067c, 00b50863
1267889000: 00000680, 00052023
1268055000: 00000684, 00450513
1268139000: 00000688, ff5ff06f
1268222000: 0000068c, 471000ef
1268306000: 00000690, 010000ef
1268389000: 0000067c, 00b50863
